,carat,cut,color,clarity,depth,table,price,x,y,z
13477,1.2,Ideal,J,VS1,61.3,56.0,5534,6.83,6.87,4.2
13620,1.04,Ideal,I,VS1,61.4,58.0,5572,6.46,6.54,3.99
19461,1.02,Ideal,G,VVS2,59.2,58.0,8107,6.56,6.62,3.9
40889,0.56,Fair,F,SI1,61.6,61.0,1176,5.38,5.21,3.26
7672,1.0,Good,I,SI1,58.0,58.0,4273,6.56,6.62,3.82
18247,1.01,Ideal,F,VS1,60.8,57.0,7412,6.54,6.52,3.97
48061,0.55,Ideal,D,VS2,62.3,55.0,1928,5.24,5.29,3.28
6778,0.91,Good,D,SI1,63.1,61.0,4113,6.1,6.16,3.87
26353,0.32,Very Good,G,VS1,62.8,59.0,645,4.33,4.37,2.73
23307,1.56,Premium,H,VS1,62.0,57.0,11345,7.48,7.43,4.62
5090,1.02,Premium,F,SI2,62.5,58.0,3754,6.47,6.4,4.02
15539,1.31,Ideal,H,SI2,62.3,56.0,6225,7.0,6.97,4.35
47187,0.57,Ideal,G,VS1,62.2,54.0,1837,5.31,5.33,3.31
25819,2.09,Ideal,I,SI2,63.0,57.0,14838,8.13,8.09,5.11
44625,0.57,Ideal,G,VS2,61.6,57.0,1608,5.32,5.36,3.29
43257,0.5,Ideal,G,VS2,61.6,55.0,1400,5.11,5.14,3.16
48369,0.71,Premium,G,SI2,62.4,59.0,1963,5.67,5.61,3.52
40105,0.33,Premium,G,VVS1,62.1,58.0,1114,4.43,4.4,2.74
49538,0.72,Fair,E,SI2,68.4,64.0,2125,5.38,5.32,3.66
43518,0.61,Ideal,F,SI2,61.3,55.0,1424,5.47,5.55,3.38
9561,1.1,Premium,E,SI2,60.9,60.0,4622,6.66,6.61,4.04
32010,0.31,Ideal,D,VVS2,61.9,55.0,777,4.36,4.39,2.71
914,0.7,Premium,F,VS1,60.4,60.0,2879,5.73,5.7,3.45
31142,0.38,Very Good,G,SI1,62.0,54.8,755,4.64,4.67,2.89
25292,1.51,Premium,F,VS2,62.9,61.0,13945,7.31,7.22,4.57
48329,0.34,Premium,H,SI2,58.6,62.0,536,4.62,4.6,2.7
51424,0.71,Fair,D,SI1,66.3,56.0,2372,5.61,5.49,3.68
25680,0.31,Ideal,F,VS1,61.5,54.0,642,4.36,4.39,2.69
8586,0.9,Very Good,D,SI1,60.9,57.0,4438,6.22,6.26,3.8
29349,0.31,Ideal,G,VS2,61.8,57.0,698,4.36,4.34,2.69
37263,0.32,Premium,J,SI1,63.0,58.0,480,4.35,4.32,2.73
42906,0.39,Premium,E,VVS1,60.7,58.0,1362,4.73,4.69,2.86
381,0.8,Good,G,SI1,62.7,57.0,2810,5.84,5.93,3.69
25891,2.02,Premium,G,SI2,63.0,59.0,15014,8.05,7.95,5.03
462,0.7,Premium,E,VS2,62.4,61.0,2818,5.66,5.63,3.52
10674,1.07,Ideal,H,SI2,62.4,55.0,4840,6.56,6.59,4.1
1842,0.71,Premium,E,VS2,62.0,61.0,3062,5.71,5.65,3.52
44285,0.52,Premium,H,VS1,61.4,57.0,1577,5.27,5.16,3.2
18737,1.34,Very Good,H,SI1,61.6,59.0,7655,7.04,7.09,4.35
46127,0.51,Ideal,F,VS1,62.5,55.0,1744,5.08,5.13,3.19
10153,1.1,Premium,D,SI2,62.4,58.0,4725,6.6,6.57,4.11
18483,1.5,Premium,I,SI2,62.5,61.0,7526,7.29,7.24,4.54
5977,1.12,Good,J,SI1,63.7,61.0,3951,6.54,6.5,4.15
11761,1.2,Premium,I,SI2,60.0,58.0,5080,6.93,6.91,4.15
42277,0.23,Very Good,F,VVS1,63.2,58.0,505,3.89,3.93,2.47
30165,0.4,Good,D,SI1,63.1,57.0,720,4.69,4.73,2.97
1793,0.77,Ideal,F,VS2,61.2,57.0,3052,5.93,5.97,3.64
39087,0.51,Good,H,SI2,56.7,60.0,1060,5.38,5.35,3.04
12927,1.01,Good,E,SI1,64.3,59.0,5379,6.23,6.28,4.02
268,0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51
28493,0.3,Ideal,E,VS2,61.5,55.0,673,4.3,4.34,2.66
46924,0.52,Premium,G,VS1,61.1,58.0,1815,5.19,5.16,3.16
17724,0.26,Very Good,E,VVS2,62.9,56.0,614,4.07,4.1,2.57
22801,1.51,Premium,I,VVS1,61.0,61.0,10824,7.47,7.34,4.52
38542,0.34,Ideal,D,VS2,61.3,57.0,1033,4.5,4.47,2.75
47782,0.7,Fair,J,VS2,67.4,58.0,1896,5.34,5.37,3.61
25011,2.05,Premium,J,VS2,62.3,60.0,13543,8.09,8.15,5.06
36550,0.4,Premium,E,SI1,60.1,59.0,945,4.82,4.76,2.88
10562,1.01,Good,F,SI1,61.6,63.0,4816,6.42,6.47,3.97
37896,0.41,Ideal,G,VVS2,61.8,56.0,1007,4.74,4.78,2.94
32838,0.46,Ideal,G,SI2,61.1,57.0,807,4.97,5.01,3.05
45185,0.51,Ideal,E,VS2,61.7,54.0,1656,5.13,5.18,3.18
39249,0.41,Ideal,G,VVS1,62.4,53.0,1068,4.79,4.8,2.99
31931,0.3,Ideal,F,VS2,60.7,56.0,776,4.34,4.32,2.63
32978,0.37,Ideal,F,VS1,61.1,57.0,811,4.61,4.65,2.83
20241,1.24,Good,G,VS2,61.3,57.0,8672,6.78,6.88,4.19
51499,0.7,Very Good,F,SI1,62.4,58.0,2382,5.64,5.7,3.54
16147,1.09,Very Good,G,VS1,59.7,63.0,6453,6.65,6.74,4.0
18352,1.01,Premium,G,VVS2,61.7,59.0,7466,6.44,6.37,3.95
48007,0.52,Ideal,D,VS2,61.9,57.0,1919,5.17,5.14,3.19
11438,1.03,Ideal,H,SI1,62.2,56.0,5005,6.45,6.51,4.03
32136,0.36,Ideal,F,VS2,60.5,57.0,786,4.61,4.65,2.8
4119,0.9,Very Good,G,SI2,62.4,55.0,3539,6.13,6.17,3.84
7743,1.24,Premium,E,SI2,60.8,57.0,4278,6.98,6.94,4.23
24758,1.5,Premium,G,VS2,60.5,59.0,13112,7.39,7.35,4.46
5428,0.94,Premium,E,SI2,60.4,59.0,3825,6.34,6.37,3.84
1005,0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66
48760,0.5,Ideal,F,VVS2,62.0,56.0,2016,5.08,5.05,3.14
8786,1.0,Ideal,H,SI1,61.4,55.0,4469,6.49,6.44,3.97
43592,0.31,Ideal,H,VS2,62.0,55.0,507,4.36,4.38,2.71
18124,1.44,Fair,H,VS1,58.1,69.0,7338,7.49,7.34,4.32
18121,1.23,Ideal,E,SI2,62.1,55.0,7336,6.91,6.84,4.27
14514,1.14,Ideal,I,VS1,61.7,53.0,5863,6.75,6.77,4.17
52880,0.54,Ideal,D,VVS2,61.6,54.0,2583,5.25,5.27,3.24
729,0.32,Good,E,VS2,64.1,54.0,556,4.34,4.37,2.79
24385,0.41,Good,E,SI2,63.5,55.0,638,4.69,4.73,2.99
25410,2.04,Ideal,J,SI1,61.7,57.0,14130,8.11,8.17,5.02
18746,1.52,Ideal,I,SI2,60.2,57.0,7661,7.47,7.38,4.47
3184,1.02,Good,I,SI2,57.1,62.0,3342,6.66,6.58,3.78
40353,0.43,Ideal,G,VVS2,61.4,55.0,1129,4.88,4.83,2.98
9632,0.92,Premium,E,SI1,61.7,57.0,4637,6.32,6.2,3.86
3131,0.73,Ideal,E,VS1,62.8,57.0,3327,5.75,5.78,3.62
46316,0.3,Good,E,SI1,63.1,53.0,526,4.27,4.32,2.71
1039,0.74,Very Good,D,VS2,62.4,57.0,2906,5.74,5.8,3.6
13363,0.24,Very Good,F,VS2,61.9,59.0,419,3.98,4.0,2.47
3661,0.82,Very Good,I,VVS1,62.8,58.0,3443,5.95,5.99,3.75
53402,0.71,Ideal,F,SI2,61.8,57.0,2667,5.69,5.72,3.53
45043,0.53,Ideal,F,SI1,61.5,56.0,1639,5.2,5.24,3.21
12144,1.2,Ideal,I,SI1,62.2,56.0,5174,6.75,6.73,4.19
25580,1.52,Premium,G,VS1,61.9,58.0,14424,7.38,7.35,4.56
26991,2.05,Premium,E,SI2,59.7,59.0,17081,8.27,8.39,4.97
39723,0.5,Good,E,SI1,63.7,59.0,1090,5.07,5.01,3.21
42375,0.43,Ideal,H,IF,62.2,55.0,1304,4.87,4.84,3.02
44125,0.5,Premium,E,VS2,62.6,58.0,1559,5.07,5.12,3.19
16451,1.2,Ideal,H,SI1,62.2,58.0,6569,6.81,6.77,4.22
50441,0.7,Very Good,E,SI2,62.6,55.0,2263,5.62,5.69,3.54
48678,0.51,Ideal,G,VVS1,62.6,57.0,2005,5.08,5.14,3.2
50405,0.73,Premium,E,SI2,62.2,55.0,2256,5.81,5.71,3.58
46010,0.52,Ideal,E,VS1,61.3,56.0,1726,5.18,5.22,3.19
11615,1.08,Ideal,H,SI2,61.4,57.0,5049,6.6,6.66,4.07
53163,0.84,Premium,H,SI2,61.3,58.0,2628,6.1,6.04,3.72
34696,0.3,Ideal,F,IF,60.9,57.0,873,4.35,4.38,2.66
5734,0.92,Good,D,SI2,63.3,59.0,3891,6.12,6.18,3.89
53786,0.73,Premium,F,SI1,62.2,56.0,2728,5.79,5.73,3.58
31518,0.34,Premium,E,SI1,60.7,60.0,765,4.51,4.48,2.73
6925,0.91,Premium,E,SI1,62.6,58.0,4138,6.17,6.14,3.85
2757,0.9,Fair,G,SI1,65.2,59.0,3250,6.05,6.01,3.93
19939,1.66,Premium,J,SI1,60.7,58.0,8487,7.72,7.63,4.66
7638,1.06,Ideal,H,SI2,60.6,59.0,4267,6.63,6.6,4.01
35600,0.31,Ideal,H,VVS1,61.6,55.0,907,4.38,4.35,2.69
36057,0.31,Very Good,G,IF,61.7,54.0,924,4.33,4.36,2.68
47387,0.54,Ideal,E,VS2,61.9,55.0,1847,5.24,5.2,3.23
50932,0.71,Ideal,I,SI1,61.0,56.0,2319,5.75,5.78,3.52
31178,0.32,Good,E,VS1,60.3,64.0,756,4.42,4.44,2.67
28171,0.36,Good,H,SI1,63.6,57.0,665,4.53,4.49,2.87
1169,0.9,Premium,H,SI2,59.5,60.0,2927,6.32,6.29,3.75
429,0.76,Premium,E,SI1,62.2,59.0,2814,5.86,5.81,3.63
52613,0.57,Ideal,D,VS2,61.3,56.0,2546,5.35,5.42,3.3
4304,1.01,Very Good,H,SI2,63.4,57.0,3592,6.39,6.32,4.03
32509,0.4,Good,E,SI2,64.2,57.0,798,4.7,4.68,3.01
13370,0.24,Very Good,D,VS1,61.4,58.0,419,3.99,4.02,2.46
34977,0.25,Ideal,H,VS2,61.0,55.0,472,4.11,4.09,2.5
44031,0.5,Very Good,E,VS2,61.8,57.0,1547,5.05,5.11,3.14
543,0.72,Premium,F,VS1,62.2,58.0,2829,5.75,5.7,3.56
18424,1.0,Good,G,VVS2,60.9,56.0,7492,6.49,6.52,3.96
39448,0.5,Good,E,SI2,63.3,56.0,1077,5.05,5.09,3.21
23336,1.04,Premium,E,VVS1,60.9,58.0,11382,6.61,6.53,4.0
410,0.34,Ideal,I,VS1,61.8,55.0,555,4.48,4.52,2.78
40887,0.56,Premium,G,SI1,61.7,58.0,1176,5.31,5.29,3.27
45472,0.5,Ideal,E,VS2,62.3,57.0,1676,5.08,5.04,3.15
28002,0.3,Premium,E,VS2,61.6,58.0,658,4.31,4.33,2.66
23335,1.58,Premium,G,VS1,60.8,58.0,11380,7.58,7.52,4.59
16274,1.02,Ideal,F,VS2,62.9,57.0,6509,6.42,6.33,4.01
6193,0.9,Very Good,D,SI1,62.4,63.0,3997,6.18,6.15,3.85
30814,0.39,Good,G,VS2,60.3,60.6,743,4.7,4.71,2.84
812,0.71,Premium,D,SI1,60.6,58.0,2863,5.79,5.77,3.5
19140,1.12,Premium,F,VS1,61.2,58.0,7903,6.72,6.68,4.1
32519,0.35,Ideal,G,VVS2,61.0,57.0,798,4.54,4.58,2.78
41097,0.58,Ideal,I,SI1,61.4,55.0,1193,5.37,5.42,3.31
20964,1.01,Very Good,F,VVS1,63.2,56.0,9176,6.39,6.33,4.02
29668,0.35,Very Good,G,VS1,60.7,61.0,706,4.54,4.58,2.77
45566,0.52,Ideal,E,VS2,59.5,57.0,1689,5.25,5.27,3.13
12395,1.13,Ideal,F,SI2,61.8,57.0,5232,6.71,6.68,4.14
2679,0.77,Very Good,G,VS1,62.3,58.0,3240,5.82,5.86,3.64
38336,0.51,Premium,J,SI1,62.6,59.0,1020,5.1,5.06,3.18
20237,1.5,Premium,H,SI1,61.6,58.0,8669,7.33,7.38,4.53
28585,0.3,Good,G,VS2,63.9,55.0,675,4.28,4.27,2.73
21992,1.07,Ideal,F,VVS2,62.3,57.0,10061,6.56,6.58,4.09
18861,1.17,Premium,G,SI1,62.6,55.0,7731,6.75,6.7,4.21
6954,1.0,Premium,H,SI1,61.7,59.0,4144,6.41,6.36,3.94
32478,0.35,Ideal,F,VVS2,61.6,58.0,795,4.5,4.53,2.78
51391,0.71,Fair,D,VS2,55.6,73.0,2368,6.01,5.96,3.33
43587,0.56,Premium,H,VS2,62.2,60.0,1432,5.28,5.23,3.27
46972,0.38,Good,I,SI1,63.7,57.0,529,4.63,4.57,2.93
39918,0.41,Ideal,D,VS1,62.4,56.0,1105,4.75,4.8,2.98
25042,0.3,Good,F,SI1,63.6,55.0,641,4.33,4.28,2.74
3698,0.9,Very Good,E,SI2,64.2,54.0,3449,6.08,6.11,3.91
46465,0.7,Premium,J,VS2,62.0,62.0,1775,5.63,5.59,3.48
430,0.76,Ideal,E,SI1,61.7,57.0,2814,5.88,5.85,3.62
26781,2.06,Ideal,I,SI1,61.9,56.0,16626,8.17,8.19,5.06
33036,0.32,Ideal,G,VVS1,61.6,55.0,814,4.43,4.47,2.74
18607,1.54,Premium,J,SI1,61.2,59.0,7589,7.45,7.41,4.55
26834,2.01,Good,E,SI2,60.0,64.0,16733,8.17,8.09,4.88
12354,1.24,Very Good,H,SI2,61.0,59.0,5231,6.93,7.0,4.25
34827,0.3,Ideal,H,VVS1,63.0,54.0,878,4.3,4.27,2.7
39732,0.53,Very Good,G,SI2,60.9,55.0,1092,5.26,5.29,3.21
4040,1.24,Premium,E,I1,61.1,62.0,3528,6.91,6.86,4.21
42341,0.41,Good,E,VVS1,64.1,55.0,1298,4.71,4.68,3.01
13609,1.02,Premium,H,VS1,62.1,59.0,5569,6.43,6.38,3.98
15399,1.06,Very Good,E,SI1,59.8,56.0,6169,6.63,6.67,3.98
33229,0.33,Ideal,D,VS2,61.1,56.0,822,4.5,4.54,2.76
20759,1.07,Ideal,E,VS1,60.0,58.0,8998,6.66,6.7,4.01
53807,0.72,Very Good,G,VS2,63.1,57.0,2732,5.74,5.71,3.61
20788,1.52,Premium,E,SI2,60.8,60.0,9028,7.36,7.42,4.49
50853,0.7,Very Good,F,SI1,60.3,59.0,2312,5.73,5.78,3.47
36916,0.41,Premium,G,VS1,60.2,59.0,961,4.84,4.79,2.9
46637,0.3,Good,E,SI1,63.7,58.0,526,4.24,4.27,2.71
32790,0.33,Ideal,F,VS2,61.1,56.0,804,4.47,4.5,2.74
42689,0.5,Ideal,E,SI1,60.6,59.0,1337,5.13,5.16,3.12
12184,1.21,Premium,G,SI2,59.1,55.0,5184,7.04,6.98,4.14
33792,0.4,Premium,I,VVS1,62.7,59.0,842,4.67,4.71,2.94
27508,2.19,Premium,E,SI2,62.4,61.0,18232,8.31,8.23,5.16
50617,0.31,Ideal,J,VS2,61.8,54.1,400,4.35,4.38,2.7
10151,1.1,Premium,I,SI1,61.2,61.0,4725,6.66,6.61,4.01
24465,1.3,Ideal,F,VVS2,62.4,57.0,12734,6.97,6.9,4.33
51380,0.7,Premium,H,VS1,61.9,56.0,2367,5.7,5.67,3.52
38853,0.4,Ideal,G,VVS2,62.4,56.0,1050,4.68,4.64,2.91
40621,0.41,Premium,E,VS1,60.8,59.0,1153,4.82,4.76,2.91
27988,0.3,Very Good,E,VS2,61.8,58.0,658,4.26,4.28,2.64
45340,0.7,Premium,F,SI2,59.5,61.0,1662,5.78,5.68,3.41
29628,0.35,Premium,H,SI2,61.6,58.0,441,4.49,4.54,2.78
42972,0.41,Ideal,E,VVS1,61.7,56.0,1367,4.78,4.82,2.96
17979,1.07,Ideal,H,VVS1,61.7,56.0,7273,6.56,6.68,4.06
14811,1.04,Very Good,G,VS2,61.3,58.0,5964,6.45,6.53,3.98
21018,1.01,Premium,F,VVS2,60.4,59.0,9231,6.49,6.45,3.91
21003,1.51,Good,H,SI1,61.8,61.0,9218,7.25,7.32,4.5
35715,0.3,Ideal,D,VS2,60.8,57.0,911,4.34,4.31,2.63
21490,1.5,Ideal,I,VS2,62.6,57.0,9586,7.26,7.31,4.56
28608,0.3,Premium,E,SI1,61.7,56.0,675,4.29,4.27,2.64
50781,0.52,Premium,E,VVS1,59.8,58.0,2302,5.27,5.24,3.14
49640,0.32,Ideal,G,SI2,62.5,57.0,540,4.38,4.35,2.73
19662,1.51,Good,J,VS1,61.5,59.0,8271,7.26,7.31,4.48
50359,0.72,Premium,G,SI1,60.6,62.0,2246,5.81,5.77,3.51
32390,0.4,Very Good,E,VS2,60.4,63.0,791,4.68,4.72,2.84
17937,1.61,Premium,J,SI2,62.2,59.0,7245,7.52,7.47,4.66
52333,0.7,Premium,E,VS2,61.1,58.0,2496,5.78,5.7,3.51
15868,1.21,Ideal,H,SI2,62.1,58.0,6347,6.78,6.84,4.23
35048,0.42,Ideal,I,VVS1,62.4,57.0,884,4.79,4.83,3.0
8466,1.03,Good,F,SI2,59.0,59.0,4414,6.55,6.6,3.88
9367,0.32,Good,D,SI1,63.7,55.0,589,4.35,4.38,2.78
15423,1.01,Good,D,VS2,64.0,58.0,6176,6.3,6.24,4.01
33445,0.32,Premium,G,VS1,61.7,58.0,828,4.41,4.38,2.71
22085,1.59,Very Good,I,VS2,60.5,63.0,10106,7.52,7.45,4.53
41495,0.41,Very Good,E,VVS2,59.9,60.0,1233,4.8,4.82,2.88
43244,0.42,Ideal,E,VVS1,62.0,56.0,1400,4.78,4.84,2.98
32641,0.31,Ideal,H,VVS2,62.5,55.0,802,4.37,4.34,2.72
38848,0.4,Ideal,I,IF,62.2,56.0,1050,4.75,4.71,2.94
30919,0.34,Ideal,E,VS2,62.6,55.0,745,4.43,4.45,2.78
53745,1.0,Fair,G,I1,61.7,57.0,2723,6.39,6.28,3.91
3419,0.36,Premium,H,VS2,60.9,59.0,568,4.58,4.62,2.8
32952,0.35,Very Good,F,SI2,62.8,55.0,460,4.48,4.53,2.83
890,0.7,Premium,G,VVS2,61.8,58.0,2874,5.67,5.63,3.49
9062,1.2,Ideal,J,SI2,62.5,57.0,4516,6.8,6.74,4.23
41997,0.43,Ideal,D,VS1,61.9,55.0,1264,4.87,4.85,3.01
44611,0.53,Ideal,E,SI1,61.8,56.0,1607,5.21,5.17,3.21
30507,0.31,Ideal,D,SI1,63.0,55.0,732,4.34,4.32,2.73
24339,2.01,Ideal,I,SI1,62.9,55.0,12606,8.07,8.0,5.05
10853,1.03,Ideal,G,SI2,61.8,55.0,4873,6.5,6.52,4.02
30470,0.31,Very Good,D,SI1,63.5,57.0,732,4.32,4.28,2.73
40895,0.44,Ideal,H,IF,61.9,54.0,1177,4.9,4.95,3.05
23521,1.58,Ideal,I,VVS1,61.7,53.0,11526,7.52,7.53,4.65
47199,0.5,Ideal,G,VVS2,61.2,56.0,1838,5.1,5.13,3.13
43350,0.5,Very Good,E,VS2,61.3,62.0,1407,5.05,5.1,3.11
5169,0.9,Very Good,H,SI1,61.7,57.0,3772,6.21,6.26,3.85
23791,2.08,Premium,H,SI2,60.0,60.0,11851,8.31,8.28,4.98
10713,0.31,Premium,D,SI2,60.1,60.0,593,4.41,4.38,2.64
52618,0.7,Very Good,H,SI1,61.1,56.0,2548,5.72,5.76,3.51
18397,1.03,Ideal,E,VS1,59.5,57.0,7477,6.6,6.62,3.93
225,0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58
51053,0.7,Premium,H,SI1,62.8,57.0,2331,5.66,5.61,3.54
46707,0.7,Very Good,F,SI2,63.2,59.0,1792,5.66,5.61,3.56
5228,1.02,Ideal,I,SI2,60.7,57.0,3786,6.54,6.57,3.98
1812,0.78,Very Good,E,SI1,60.9,57.0,3055,5.93,5.97,3.62
9263,1.01,Fair,F,SI1,65.9,60.0,4561,6.25,6.17,4.09
14411,1.23,Ideal,I,SI2,61.8,55.0,5820,6.87,6.91,4.26
18948,1.01,Ideal,D,VS2,62.7,57.0,7792,6.39,6.36,4.0
24414,2.23,Very Good,J,SI2,60.5,61.0,12655,8.4,8.47,5.1
35722,0.3,Ideal,D,VS2,61.8,55.0,911,4.34,4.3,2.67
16540,0.63,Ideal,D,IF,62.5,55.0,6607,5.5,5.47,3.43
30182,0.34,Ideal,H,VVS1,62.3,54.0,722,4.46,4.5,2.79
46192,0.52,Premium,D,VS2,62.4,58.0,1749,5.09,5.13,3.19
17278,1.29,Ideal,J,VVS1,61.2,56.0,6918,7.01,7.05,4.3
7706,1.04,Premium,G,SI2,60.9,58.0,4277,6.58,6.52,3.99
11841,1.01,Ideal,I,VS2,62.0,54.0,5099,6.43,6.47,4.0
17054,0.4,Ideal,J,SI1,61.6,56.0,612,4.72,4.77,2.93
25448,1.5,Premium,F,VS2,61.1,58.0,14199,7.36,7.33,4.49
39296,0.3,Ideal,H,VS2,62.3,57.0,491,4.27,4.3,2.67
53714,0.76,Ideal,F,SI1,62.6,57.0,2719,5.84,5.89,3.67
3861,0.72,Ideal,G,VS1,61.0,55.0,3478,5.81,5.83,3.55
6978,1.08,Very Good,J,SI2,62.5,60.0,4152,6.51,6.57,4.09
41335,0.48,Fair,E,VS2,64.9,54.0,1215,4.94,4.92,3.2
41050,0.5,Fair,E,VS2,65.0,58.0,1188,4.96,4.92,3.21
26587,2.01,Good,I,VS2,62.4,62.0,16304,7.91,7.99,4.96
2899,0.92,Premium,F,SI2,58.9,59.0,3282,6.38,6.35,3.75
51874,0.71,Very Good,H,VS1,62.8,59.0,2428,5.61,5.7,3.55
6129,1.17,Premium,F,I1,62.2,58.0,3984,6.76,6.72,4.19
33647,0.32,Very Good,F,VVS1,62.8,60.0,834,4.32,4.34,2.72
36247,0.41,Ideal,E,VS2,62.4,54.0,935,4.76,4.79,2.98
48512,0.6,Very Good,D,VS2,61.5,59.0,1984,5.4,5.43,3.33
46660,0.51,Ideal,D,VS2,61.9,55.0,1787,5.11,5.13,3.17
39416,0.41,Premium,F,VS1,61.2,57.0,1076,4.8,4.77,2.93
25809,2.01,Very Good,E,SI2,61.2,58.0,14813,8.05,8.07,4.93
9532,1.17,Ideal,J,SI1,62.1,57.0,4617,6.74,6.81,4.21
39308,0.7,Fair,G,I1,62.5,59.0,1069,5.65,5.48,3.48
16409,1.0,Good,F,VS1,57.8,59.0,6552,6.57,6.59,3.8
8741,0.9,Good,E,SI1,63.9,55.0,4463,6.08,6.13,3.9
24735,1.72,Premium,H,SI1,62.9,58.0,13078,7.63,7.59,4.79
21816,1.31,Ideal,G,VS1,62.2,56.0,9891,7.01,7.05,4.37
18521,1.6,Premium,J,SI1,62.2,58.0,7550,7.48,7.54,4.67
10276,1.0,Very Good,D,SI2,62.8,58.0,4753,6.33,6.37,3.99
35708,0.3,Premium,D,VS2,60.7,60.0,911,4.37,4.33,2.64
26486,2.16,Very Good,I,VS2,58.6,60.0,16080,8.48,8.55,4.99
21634,1.02,Very Good,F,VVS2,63.7,59.0,9728,6.34,6.38,4.05
16344,1.29,Very Good,I,VS2,61.8,58.0,6537,6.94,6.98,4.3
19772,1.51,Ideal,I,SI1,61.1,59.0,8342,7.4,7.37,4.51
20376,0.31,Ideal,H,VVS2,62.4,57.0,625,4.32,4.36,2.71
33250,0.45,Ideal,I,VS1,61.9,54.0,825,4.95,4.97,3.07
20768,1.2,Very Good,F,VS2,61.8,58.0,9007,6.75,6.78,4.18
25065,2.01,Good,I,SI1,64.1,62.0,13587,7.94,7.85,5.06
30643,0.42,Good,D,SI1,63.3,58.0,735,4.73,4.75,3.0
17395,0.32,Ideal,D,SI2,62.4,54.0,612,4.4,4.38,2.74
38936,0.4,Very Good,E,VS1,61.8,56.0,1053,4.74,4.77,2.94
16790,1.21,Ideal,I,VS1,61.5,58.0,6691,6.84,6.88,4.22
24712,0.3,Very Good,E,VS2,61.5,58.0,640,4.28,4.31,2.64
23584,1.24,Ideal,G,VVS2,61.1,56.0,11601,6.94,6.97,4.25
35207,0.33,Ideal,I,IF,61.6,55.0,891,4.47,4.46,2.75
15806,1.0,Ideal,E,SI1,62.4,55.0,6324,6.34,6.42,3.98
45884,0.58,Ideal,G,VS2,61.1,56.0,1719,5.4,5.43,3.31
22681,0.38,Ideal,J,VVS2,62.0,55.0,629,4.67,4.69,2.9
21429,1.18,Premium,G,VVS2,59.7,58.0,9537,6.94,6.9,4.13
